filename,plate,confidence,status
T1_000020_AB123K____Unknown.jpg,123K,0.98,ok
T1_000458_KS385____Unknown.jpg,KS385,0.95,ok
T1_000510_AB123K____Unknown.jpg,123K,0.99,ok
T1_000708_KS385____Unknown.jpg,KS385,1.00,ok
T1_001138_ZY034____Unknown.jpg,ZY034,0.99,ok
T1_003440_MH987____Unknown.jpg,MH987,1.00,ok
T1_003822_JU480____Unknown.jpg,JU480,0.97,ok
T1_010445_MH987____Unknown.jpg,MH987,0.99,ok
T1_010504_NT806____Unknown.jpg,NT806,0.99,ok
T1_010607_LS227____Unknown.jpg,LS227,0.95,ok
T1_010620_JU480____Unknown.jpg,JU480,0.98,ok
T1_010932_RN340____Unknown.jpg,RN340,0.96,ok
T1_025149_ZY034____Unknown.jpg,ZY034,0.99,ok
T1_033109_PH677____Unknown.jpg,PRECT,0.81,ok
T1_063539_JR300____Unknown.jpg,JR300,0.99,ok
T1_064049_JR300____Unknown.jpg,JR300,0.95,ok
T1_064243_JR300____Unknown.jpg,JR300,0.98,ok
T1_070710_UF386____Unknown.jpg,UF386,0.99,ok
T1_070823_UF386____Unknown.jpg,UF386,0.99,ok
T1_070915_UF386____Unknown.jpg,UF386,0.99,ok
T1_071005_NP109____Unknown.jpg,NP109,0.98,ok
T1_071023_UF386____Unknown.jpg,UF386,0.98,ok
T1_072443_AB182E____Unknown.jpg,AB182E,1.00,ok
T1_073018_AA038C____Unknown.jpg,0,0.45,ok
T1_073044_RZ367____Unknown.jpg,RZ367,0.99,ok
T1_074557_YK115____Unknown.jpg,YK115,1.00,ok
T1_074618_YB851____Unknown.jpg,YB851,0.98,ok
T1_074656_YF428____Unknown.jpg,YF428,0.97,ok
T1_075105_RN358____Unknown.jpg,RN358,0.93,ok
T1_075214_AA122Z____Unknown.jpg,1222,0.86,ok
T1_075429_ZN822____Unknown.jpg,ZN822,1.00,ok
T1_075926_JG404____Unknown.jpg,JG404,1.00,ok
T1_080731_ZR905____Unknown.jpg,ZR905,1.00,ok
T1_080932_VE566____Unknown.jpg,VE566,0.94,ok
T1_081313_MG396____Unknown.jpg,MG396,0.95,ok
T1_081547_ZC322____Unknown.jpg,ZC322,0.99,ok
T1_081657_AA686N____Unknown.jpg,AA686N,1.00,ok
T1_082118_PK687____Unknown.jpg,PK687,0.99,ok
T1_082154_UD874____Unknown.jpg,UD874,0.99,ok
T1_082436_AA359Z____Unknown.jpg,A,0.53,ok
T1_083044_HJ220____Unknown.jpg,HJ220,1.00,ok
T1_083132_PA167____Unknown.jpg,PA167,1.00,ok
T1_083218_YC380____Unknown.jpg,YC380,0.90,ok
T1_083231_YU481____Unknown.jpg,DYU481,0.96,ok
T1_083549_ZC352____Unknown.jpg,ZC352,1.00,ok
T1_083604_SY569____Unknown.jpg,SY569,0.99,ok
T1_083639_UN643____Unknown.jpg,UN643,0.95,ok
T1_083708_RG184____Unknown.jpg,RG184,0.99,ok
T1_083752_PU508____Unknown.jpg,PU508,0.94,ok
T1_084005_AA359Z____Unknown.jpg,3592,0.92,ok
T1_084019_RG184____Unknown.jpg,RG184,1.00,ok
T1_084123_YD638____Unknown.jpg,YD638,0.99,ok
T1_084225_SN736____Unknown.jpg,SN736,1.00,ok
T1_084306_NJ017____Unknown.jpg,NJ017,1.00,ok
T1_084422_MD575____Unknown.jpg,MD575,0.97,ok
T1_084545_RS214____Unknown.jpg,RS214,1.00,ok
T1_084549_PA167____Unknown.jpg,PA167,1.00,ok
T1_084646_JJ318____Unknown.jpg,JJ318,0.89,ok
T1_084653_LZ374____Unknown.jpg,LZ374,0.97,ok
T1_084708_PA809____Unknown.jpg,PA809,0.99,ok
T1_084733_RG184____Unknown.jpg,RG184,0.98,ok
T1_084827_KG007____Unknown.jpg,KG007,0.99,ok
T1_084838_NE285____Unknown.jpg,NE285,0.98,ok
T1_084850_VV726____Unknown.jpg,VV726,0.99,ok
T1_085017_PU508____Unknown.jpg,PU508,0.98,ok
T1_085025_PA809____Unknown.jpg,PA809,0.97,ok
T1_085059_NL435____Unknown.jpg,NL435,1.00,ok
T1_085107_ZL034____Unknown.jpg,ZL034,0.99,ok
T1_085120_RA954____Unknown.jpg,RA954,0.97,ok
T1_085220_KZ207____Unknown.jpg,KZ207,0.99,ok
T1_085301_LJ947____Unknown.jpg,LJ947,0.93,ok
T1_085407_ZF215____Unknown.jpg,ZF215,1.00,ok
T1_085408_PA167____Unknown.jpg,PA167,1.00,ok
T1_085443_LE360____Unknown.jpg,LE360,0.92,ok
T1_085451_ZC847____Unknown.jpg,ZC847,1.00,ok
T1_085458_LV867____Unknown.jpg,LV867,1.00,ok
T1_085608_LE360____Unknown.jpg,LE360,1.00,ok
T1_085622_AA359Z____Unknown.jpg,359Z,0.78,ok
T1_085702_PE861____Unknown.jpg,PE869,1.00,ok
T1_085710_PA409____Unknown.jpg,PA409,0.98,ok
T1_085737_LE360____Unknown.jpg,LLE360,0.98,ok
T1_085822_AB037J____Unknown.jpg,M,0.82,ok
T1_090010_AB182E____Unknown.jpg,AB182E,0.99,ok
T1_090359_JE806____Unknown.jpg,JE806,0.94,ok
T1_090426_LE360____Unknown.jpg,LE360,0.99,ok
T1_090742_KM064____Unknown.jpg,KM064,0.98,ok
T1_091023_SB165____Unknown.jpg,SB165,0.96,ok
T1_091402_PEE925____Unknown.jpg,PEE925,0.99,ok
T1_091513_NS642____Unknown.jpg,NS642,0.99,ok
T1_091516_AA212G____Unknown.jpg,212G,0.99,ok
T1_091917_RC481____Unknown.jpg,RC481,1.00,ok
T1_092024_YF428____Unknown.jpg,YF428,1.00,ok
T1_092028_YE164____Unknown.jpg,YE164,0.96,ok
T1_092051_YG041____Unknown.jpg,YGD43,0.75,ok
T1_092112_NL435____Unknown.jpg,NL435,1.00,ok
T1_092155_UK712____Unknown.jpg,UK712,0.99,ok
T1_092226_ZUT365____Unknown.jpg,ZUT365,0.99,ok
T1_092245_MZ792____Unknown.jpg,MZ792,0.99,ok
T1_092422_GE969____Unknown.jpg,6E969,0.90,ok
T1_092707_MZ792____Unknown.jpg,MZ792,0.94,ok
T1_092721_PU508____Unknown.jpg,PU508,0.98,ok
T1_092948_AA680K____Unknown.jpg,AA680X,0.84,ok
T1_093105_PA167____Unknown.jpg,PA167,1.00,ok
T1_093208_YE032____Unknown.jpg,YE032,0.99,ok
T1_093232_PU508____Unknown.jpg,PU508,1.00,ok
T1_093251_NT884____Unknown.jpg,NT884,0.95,ok
T1_093324_VT143____Unknown.jpg,VT143,1.00,ok
T1_093328_MP123____Unknown.jpg,MP123,1.00,ok
T1_093404_MD251____Unknown.jpg,MD251,0.99,ok
T1_093409_RE686____Unknown.jpg,RE686,0.89,ok
T1_093532_NY074____Unknown.jpg,NY074,0.86,ok
T1_093653_YU481____Unknown.jpg,YU481,1.00,ok
T1_093707_KA792____Unknown.jpg,KA792,0.94,ok
T1_093854_MZ792____Unknown.jpg,MZ792,1.00,ok
T1_094020_NP401____Unknown.jpg,NP401,1.00,ok
T1_094024_ZYT149____Unknown.jpg,ZVT149,0.93,ok
T1_094122_AB177P____Unknown.jpg,AB177P,0.99,ok
T1_094135_AA175C____Unknown.jpg,AA175C,1.00,ok
T1_094145_VB786____Unknown.jpg,VB766,0.89,ok
T1_094619_YU414____Unknown.jpg,YU414,0.98,ok
T1_094706_ZA094____Unknown.jpg,ZA094,0.93,ok
T1_094752_AA693T____Unknown.jpg,AA693T,1.00,ok
T1_094756_JR233____Unknown.jpg,JR233,1.00,ok
T1_094913_NR909____Unknown.jpg,NR909,0.96,ok
T1_094957_RD982____Unknown.jpg,RD982,0.99,ok
T1_095007_RY366____Unknown.jpg,RY366,0.99,ok
T1_095135_ND912____Unknown.jpg,ND912,0.97,ok
T1_095234_LN375____Unknown.jpg,LN375,1.00,ok
T1_095241_YT319____Unknown.jpg,VT319,0.79,ok
T1_095422_JR233____Unknown.jpg,JR233,1.00,ok
T1_095755_AB271C____Unknown.jpg,AB271C,0.99,ok
T1_095809_PJ311____Unknown.jpg,PJ311,1.00,ok
T1_095854_VS907____Unknown.jpg,VS907,0.91,ok
T1_100027_ZN734____Unknown.jpg,ZN734,1.00,ok
T1_100129_AA965T____Unknown.jpg,AA965T,0.98,ok
T1_100210_NP800____Unknown.jpg,NP800,0.96,ok
T1_100219_MY974____Unknown.jpg,MY974,0.93,ok
T1_100242_RL094____Unknown.jpg,RL094,0.99,ok
T1_100251_VB786____Unknown.jpg,VB786,0.93,ok
T1_100258_KP475____Unknown.jpg,KP475,0.92,ok
T1_100425_AB317D____Unknown.jpg,AB317D,1.00,ok
T1_100438_MD251____Unknown.jpg,MD251,0.99,ok
T1_100655_YS181____Unknown.jpg,VS181,0.98,ok
T1_100846_MZ394____Unknown.jpg,MZ394,0.99,ok
T1_100852_JR233____Unknown.jpg,JR233,0.99,ok
T1_100857_PJ034____Unknown.jpg,PJ034,0.96,ok
T1_100910_ZAA423D____Unknown.jpg,ZAA423D,0.98,ok
T1_100921_VY215____Unknown.jpg,VY215,1.00,ok
T1_101041_PR410____Unknown.jpg,PR410,1.00,ok
T1_101046_KD497____Unknown.jpg,KD497,0.98,ok
T1_101104_ZR905____Unknown.jpg,ZR905,1.00,ok
T1_101137_AA693T____Unknown.jpg,AA693T,0.99,ok
T1_101205_AA554A____Unknown.jpg,554A,0.93,ok
T1_101231_JR233____Unknown.jpg,JR233,0.99,ok
T1_101248_AB400D____Unknown.jpg,4000,0.91,ok
T1_101426_ZE384____Unknown.jpg,ZE384,1.00,ok
T1_101447_ZE328____Unknown.jpg,ZE328,1.00,ok
T1_101700_KG007____Unknown.jpg,KG007,0.92,ok
T1_101732_AA693T____Unknown.jpg,AA693T,0.99,ok
T1_101733_JY230____Unknown.jpg,JV230,0.94,ok
T1_101800_LN523____Unknown.jpg,LN523,1.00,ok
T1_101810_ZJ247____Unknown.jpg,ZJ247,0.99,ok
T1_102147_YF428____Unknown.jpg,JUMB,0.67,ok
T1_102253_AB794C____Unknown.jpg,794C,0.91,ok
T1_102347_ZG279____Unknown.jpg,ZG279,1.00,ok
T1_102433_ZM328____Unknown.jpg,ZM328,1.00,ok
T1_102540_GK937____Unknown.jpg,GK937,0.99,ok
